,asOfDate,symbol,AccountsPayable,AccountsReceivable,NetIncome,StockholdersEquity,Inventory,GrossProfit,OperatingRevenue,TotalRevenue,OperatingCashFlow,TotalDebt,RetainedEarnings,DilutedEPS,DepreciationAndAmortizationInIncomeStatement,WorkingCapital,EBIT
3,2024-06-30,APOLLOHOSP.NS,,,3052000000.0,,,24626000000.0,50856000000.0,50856000000.0,,,,21.23,1774000000.0,,5464000000.0
4,2024-09-30,APOLLOHOSP.NS,24295000000.0,28804000000.0,3788000000.0,75011000000.0,4482000000.0,27316000000.0,55893000000.0,55893000000.0,,73710000000.0,,26.34,1845000000.0,23368000000.0,6749000000.0
5,2024-12-31,APOLLOHOSP.NS,,,3723000000.0,,,26262000000.0,55269000000.0,55269000000.0,,,,25.89,1846000000.0,,6460000000.0
0,2023-09-30,ASIANPAINT.NS,39429100000.0,44469400000.0,,165619500000.0,60815600000.0,,,,,23267700000.0,,12.57,,82706700000.0,
1,2023-12-31,ASIANPAINT.NS,,,14477200000.0,,,39413100000.0,90749400000.0,90749400000.0,,,,15.1,2203500000.0,,20222000000.0
2,2024-03-31,ASIANPAINT.NS,39169200000.0,48892300000.0,12567200000.0,187283000000.0,59234100000.0,37159500000.0,87147600000.0,87147600000.0,,24743800000.0,140378800000.0,,2256100000.0,90361000000.0,16781900000.0
3,2024-06-30,ASIANPAINT.NS,,,11699800000.0,,,37886700000.0,89432400000.0,89432400000.0,,,,12.2,2277000000.0,,16590000000.0
4,2024-09-30,ASIANPAINT.NS,44162000000.0,47014100000.0,6946400000.0,180238700000.0,64744000000.0,32487000000.0,80030200000.0,80030200000.0,,25160200000.0,,7.24,2419900000.0,73125900000.0,10220500000.0
5,2024-12-31,ASIANPAINT.NS,,,11104800000.0,,,36011300000.0,85215100000.0,85215100000.0,,,,11.58,2555500000.0,,15740000000.0
0,2023-09-30,AXISBANK.NS,,,,,,,,,,,,20.02,,,
1,2023-12-31,AXISBANK.NS,,,64916600000.0,1492083300000.0,,,191942000000.0,191942000000.0,,2230433400000.0,,20.93,,,
2,2024-03-31,AXISBANK.NS,36582200000.0,,75990400000.0,1570235200000.0,,,211132800000.0,211132800000.0,,2281995500000.0,652811700000.0,,,,
3,2024-06-30,AXISBANK.NS,,,64364300000.0,1649390600000.0,,,205348800000.0,205348800000.0,,2240367100000.0,,20.69,,,
4,2024-09-30,AXISBANK.NS,,,74012600000.0,1724220000000.0,,,215888500000.0,215888500000.0,,2252174600000.0,,23.78,,,
5,2024-12-31,AXISBANK.NS,,,67422900000.0,1794729800000.0,,,209194900000.0,209194900000.0,,2250208100000.0,,21.65,,,
0,2023-09-30,BAJAJ-AUTO.NS,53025200000.0,20899500000.0,,293310400000.0,15540000000.0,,,,,,,71.4,,37676200000.0,
1,2023-12-31,BAJAJ-AUTO.NS,,,20326200000.0,,,32452700000.0,118921000000.0,118921000000.0,,,,71.9,929100000.0,,26783200000.0
2,2024-03-31,BAJAJ-AUTO.NS,55973900000.0,20755300000.0,20114300000.0,289624100000.0,16887500000.0,26050300000.0,112498000000.0,112498000000.0,,17859000000.0,196667000000.0,,928100000.0,27071400000.0,26353800000.0
3,2024-06-30,BAJAJ-AUTO.NS,,,19417900000.0,,,32696500000.0,115579700000.0,115579700000.0,,,,69.6,950100000.0,,26107500000.0
4,2024-09-30,BAJAJ-AUTO.NS,69388400000.0,28185600000.0,13854400000.0,309789500000.0,17124500000.0,35224300000.0,128155300000.0,128155300000.0,,51185500000.0,,49.7,982700000.0,55535900000.0,23742900000.0
5,2024-12-31,BAJAJ-AUTO.NS,,,21956500000.0,,,35495200000.0,126889600000.0,126889600000.0,,,,78.7,1017200000.0,,29966400000.0
0,2023-09-30,BAJFINANCE.NS,19134500000.0,,,598744800000.0,,,,,,2017274700000.0,,58.45,,,
1,2023-12-31,BAJFINANCE.NS,,,36389500000.0,,,,88283900000.0,88283900000.0,,,,59.2,1757500000.0,,
2,2024-03-31,BAJFINANCE.NS,20640400000.0,,38245300000.0,766953500000.0,,,91975300000.0,91975300000.0,,2184371100000.0,370804100000.0,,1929600000.0,,
